-8,-3,2,4,-3,0,-6,-6
4,-4,-4,-6,-4,-11,9,12
-1,-1,-6,0,-2,1,-21,-22
-24,-2,-1,-4,3,12,6,-6
22,-1,0,-2,-2,-4,-1,11
-1,-3,0,0,-3,-10,-17,5
-9,-3,-1,-3,-2,6,7,8
-3,-1,1,1,-3,0,18,2
-10,0,-5,-5,-1,2,2,-9
-4,0,2,2,1,3,-12,-4
-10,-2,-4,-5,-3,-8,-2,-7
11,1,1,-1,1,-5,-7,2
-9,-2,-2,-1,1,2,5,3
2,2,-2,-1,-2,0,-6,-19
6,0,3,1,0,0,0,7
6,0,-2,-2,-3,-3,-2,-6
-14,-4,-5,-3,-3,-4,-8,-3
6,3,-3,-4,-5,-5,-4,3
-16,-3,2,0,3,9,18,-10
15,1,-2,-3,-1,-5,-6,15
-4,-6,1,3,2,-2,-7,-9
5,3,4,4,2,5,3,8
2,-2,-7,-7,-4,-8,-22,-1
-6,-2,-1,-1,-5,-3,28,-8
-1,0,0,0,2,6,8,-2
-5,-4,0,2,0,7,4,0
7,1,1,4,1,-4,2,3
-2,-1,-2,-5,-7,-14,-19,-5
-5,2,-2,-7,-3,-4,-22,-13
-2,-3,-1,1,5,14,27,11
1,0,0,-2,-3,-5,-1,2
-2,-3,-3,-1,1,3,-3,0
-3,0,-1,-1,-3,-7,-1,-4
-2,-2,-2,-3,-4,-8,-21,-2
3,-2,0,-1,2,11,19,5
-4,-1,-3,-24,-13,-5,11,-5
-1,-4,1,13,2,-1,5,-2
2,1,6,31,33,6,-1,-1
3,-2,0,1,0,-6,-15,1
-4,-1,-2,5,5,5,2,-5
-2,0,-3,-18,-12,-5,4,3
-3,-2,-5,-16,-14,-6,2,-3
-3,0,0,5,3,-3,-8,-3
0,0,4,6,6,-1,-23,0
0,-3,-2,0,2,2,17,6
1,-2,0,-2,-5,-1,-22,-17
2,2,2,-3,2,2,-3,0
1,-2,-7,-1,-3,-2,-8,0
1,-3,-8,-4,-5,-18,-40,-7
0,2,-3,-6,-6,6,45,14
-6,-3,-4,-4,-2,1,-33,-17
4,1,4,4,1,2,-17,-3
-6,0,1,1,2,-4,24,-6
2,-2,0,-1,-4,-7,28,6
-5,-5,-4,-7,-5,5,-16,1
-10,-5,-2,3,2,-4,2,-12
0,0,-1,-3,-4,1,-14,1
-6,1,1,0,-3,-5,-11,-6
7,4,0,1,-2,-6,32,3
-4,-4,-1,0,2,2,-13,0
-1,0,0,-3,1,0,-1,1
-3,-6,-4,-7,-4,-6,-16,-6
-2,-2,-3,0,-1,2,18,3
-1,0,-2,1,-4,-7,-12,-7
-11,-4,0,-3,0,4,-10,3
-1,-1,-2,-3,-5,-4,-2,-2
0,-2,0,0,-2,-6,-7,1
-1,-4,2,-1,0,-2,29,1
-2,0,0,2,-2,-2,-33,6
-1,0,-2,-4,-3,6,23,-7
-5,-3,-4,-5,-2,-9,-31,-5
-6,3,4,5,2,3,10,6
7,1,-3,-2,-2,9,-9,-3
0,3,0,-4,-2,-6,-1,-14
0,-3,-10,-1,-3,1,-5,4
2,-1,2,1,-2,-3,7,15
-1,-5,-5,-5,-2,-8,19,4
-5,-6,-1,-4,0,4,-5,-17
3,-2,4,2,0,-4,3,-3
0,2,-2,1,-1,-8,-10,-2
-3,-1,5,1,2,6,-5,8
5,0,-4,-1,-2,7,18,28
-13,-3,1,-5,-4,-10,-32,-30
3,6,1,0,1,2,-8,-3
-2,-2,0,-1,-1,3,-20,-14
-8,-6,-1,-6,-3,-6,-22,-5
6,0,3,0,-2,2,48,13
2,-3,-8,0,2,11,-24,-15
1,2,7,1,0,-10,-2,-3
-5,-4,-1,-2,-4,-5,-2,1
9,-3,1,1,-1,0,-21,9
-5,-4,-8,-8,-4,-2,25,1
3,2,2,8,5,12,23,7
-1,-2,-4,-2,-4,-18,-40,-26
-6,0,1,-3,-1,0,33,14
-7,-3,-1,-4,-4,3,-62,-26
28,2,2,3,2,-5,51,-5
-5,3,-2,-1,0,-5,-56,11
1,-5,-10,1,6,14,13,0
-5,-3,3,-3,-4,-6,15,1
-4,0,0,4,-1,6,12,2
-3,-3,-3,3,-2,-4,12,3
1,0,3,-4,-6,-10,-18,-1
6,-4,-2,-4,3,1,5,13
-5,-3,-4,-1,-2,-2,-10,-9
2,0,2,0,-1,-2,-22,4
-5,-3,-6,9,8,6,12,-10
5,2,22,-10,-4,0,46,6
-10,-8,-12,-4,-6,-11,-15,-4
-3,-4,-6,-1,1,7,4,-2
-2,1,27,-3,-1,7,33,15
0,-4,-38,-2,-2,-5,-8,14
-7,1,2,4,-3,-15,-11,-40
4,0,-10,2,2,17,36,54
1,1,7,-3,-2,-8,-45,-63
1,7,47,11,8,9,-17,3
-6,-8,-55,-16,-3,-1,0,2
6,-1,0,2,-3,-12,5,33
-11,4,-1,-1,-4,-3,9,-24
-4,-6,-2,-5,-13,-10,-14,-6
-2,4,19,15,15,3,-13,-5
0,2,-1,-17,-4,-10,2,-17
8,-1,-2,1,2,9,-13,34
-21,-4,-11,1,-2,-4,3,-6
-3,-3,1,-7,-4,0,-4,-1
-5,-2,3,1,1,-2,-14,-12
-4,-1,0,3,-3,-10,-1,-3
-3,-4,-14,-5,-5,-1,8,-8
0,0,4,-6,-6,-6,28,25
2,0,-3,-3,6,13,4,-20
-3,-2,-7,-7,-8,-9,-15,4
6,1,-4,1,4,-4,6,20
-4,-5,3,-7,-11,-14,8,11
8,3,5,2,3,10,-9,-29
3,0,-7,0,3,8,-54,11
0,-6,0,5,-2,-6,-60,-8
1,-2,-2,-7,-5,6,41,10
-6,-1,0,3,-3,-1,14,-7
0,-1,10,0,1,-8,-20,13
3,6,-10,10,5,-4,-19,-5
-4,-8,-28,-9,1,13,17,-7
0,2,6,2,-1,6,23,5
2,2,2,1,-1,-3,26,1
3,-6,-9,-5,0,-2,11,-1
0,1,11,1,0,-3,-5,-1
-6,-5,-6,3,2,1,-29,-14
4,3,3,0,-2,7,28,9
0,-1,1,-6,2,2,-4,1
-3,0,-4,-8,-5,-4,-40,-11
3,-1,3,2,7,3,44,8
-3,0,-3,-3,-6,-17,-10,1
2,0,-2,-2,-3,-6,-26,-7
1,2,4,6,5,4,42,10
-2,-3,6,1,-1,5,-34,-8
1,-4,-9,1,3,5,41,9
-4,-2,12,-3,-4,-16,-5,-6
-1,3,-8,1,-1,-5,-62,-3
-6,-5,-7,-4,-3,-6,16,-1
-1,-3,-7,-1,1,3,-18,-1
1,0,1,-10,-3,6,28,3
2,1,14,5,-2,-3,-38,-3
1,0,-2,1,-2,1,42,3
0,-3,-11,0,0,4,4,2
-1,-2,3,2,1,-12,4,-3
-1,0,6,-3,-4,3,-1,0
0,-4,-5,-2,5,-6,-15,0
-3,-2,2,-5,-8,-21,-5,-9
4,2,1,3,2,32,63,23
-3,-3,-8,-9,-1,-9,13,-8
-5,1,2,3,-1,-7,-24,-21
0,-1,0,-4,-1,7,4,-7
-2,0,-1,-2,-1,-5,6,-5
-7,-9,-23,-6,-6,-15,-6,-9
1,-1,1,-4,-5,8,32,12
-3,-2,-1,2,2,3,11,-3
4,1,1,7,-2,-9,11,-2
-3,0,13,3,-2,10,-22,13
-3,1,-4,-4,-6,-17,-58,-16
5,4,-2,0,3,20,21,-2
-3,-2,-1,4,4,-1,-20,-2
0,-1,16,13,4,-11,-8,-1
-3,-6,-21,-11,-3,10,30,5
0,-1,5,-3,-4,-7,-22,2
-3,-4,-5,-7,-4,1,6,-4
3,2,7,-3,1,8,17,2
1,2,0,2,-2,-17,-43,-4
-10,-5,-4,-4,-7,-20,-61,-4
6,1,5,0,0,26,65,14
0,2,2,3,2,1,4,-2
0,1,3,-1,-3,-4,-13,5
-2,-3,-6,-2,-2,-5,-1,-6
-2,0,2,6,-1,-15,-46,-2
0,-2,-2,-6,4,19,38,3
-3,-3,-1,5,0,3,24,-2
3,2,11,-2,1,3,14,6
-3,-1,-20,0,-3,-5,36,13
