0,-10,-43,-32,-5,-7,-3,-7
-1,1,0,-13,0,2,3,13
36,-5,12,-12,-4,-3,-1,-7
19,7,7,-1,1,2,1,-3
7,6,54,14,2,0,1,1
-20,-9,-67,-14,-2,-5,-4,-6
-3,3,14,-2,2,2,-1,5
2,-5,-2,9,-5,-3,-3,0
-7,1,8,6,-2,-1,-1,-3
13,1,17,-3,3,0,0,-3
-19,-1,5,11,0,0,-1,-4
-11,-10,-1,-2,-11,-6,-6,-8
-19,-3,-93,7,-1,-5,-4,-3
-4,-4,28,-27,-1,10,1,-2
-26,-8,-5,-8,-2,-8,-5,-6
-5,0,70,24,2,1,1,4
4,-6,-8,-24,-1,-1,0,-6
5,2,-7,22,-2,-7,0,-1
-6,7,-42,65,5,2,0,-5
21,-3,28,-78,-4,-1,-2,6
1,-4,-9,-4,-4,0,2,7
-5,5,52,26,2,0,-2,-1
11,-4,-31,-27,-2,3,2,6
-4,3,10,43,6,-2,2,4
-16,6,34,-1,3,4,-1,-7
1,-16,-41,-20,-6,-6,-5,-6
-6,2,-19,14,-2,1,-1,2
-6,-4,-15,-62,-5,-3,0,-5
26,3,28,21,-2,-5,-3,3
-10,4,-25,-4,3,3,0,-3
6,-6,-24,29,1,-4,-2,-5
-23,-6,-37,-32,0,5,1,5
4,6,68,23,-2,-2,1,0
6,1,-93,-15,-4,-5,-1,-5
6,-3,42,4,1,3,2,4
1,7,6,61,9,3,2,-6
-12,-12,-9,-28,-1,-4,-4,6
41,4,-7,6,-6,-1,1,7
14,15,47,22,3,2,2,-1
-14,-22,-51,-62,-6,1,0,-5
-15,4,14,29,0,-2,-1,-2
16,1,0,18,3,1,-1,-5
-11,-7,-13,-36,-10,-9,-2,5
26,15,28,41,3,1,0,-7
-4,-7,-4,1,3,5,1,6
4,18,13,-98,-6,-5,0,-1
-15,-21,-14,-20,-9,-8,-5,-16
-16,9,-9,22,2,-1,-1,1
-3,-27,8,55,12,6,3,-2
-14,8,54,44,-4,-5,-4,-7
25,57,92,-6,2,2,2,3
-27,-8,19,-19,-10,-7,-3,-2
2,-36,-116,-66,-4,-2,-4,-9
-27,5,51,102,17,3,1,-9
-2,-5,53,-69,-21,-7,-7,8
-5,9,40,48,4,-1,-1,-11
12,8,26,16,0,0,-1,4
0,-2,-33,9,-5,-6,-2,1
-12,-16,-30,-18,1,1,-2,-12
0,1,8,-27,-5,4,2,4
-33,-1,-65,5,-4,-7,-7,-5
-12,-15,-2,-54,-8,-10,-2,-4
-24,0,-21,63,7,9,2,-2
31,-6,-8,7,7,0,1,6
-15,18,10,8,1,2,1,0
-23,-35,-9,15,-2,-2,-2,-3
-9,-21,-39,-7,-6,-4,1,5
-7,15,-15,32,5,0,-2,-3
-15,18,65,-92,-13,-4,0,4
17,22,83,53,7,6,0,10
8,-9,-97,-37,-1,-4,-6,-13
2,-13,12,-52,-9,-8,-4,-5
13,4,34,29,-1,-2,0,-10
-32,-7,10,-70,0,1,-5,-4
48,4,35,0,-1,1,2,6
-19,1,29,27,5,0,0,3
15,1,-49,5,-1,-1,-2,3
3,-4,-42,-2,4,6,4,0
1,-6,21,-36,-7,-10,-6,-2
-10,-3,7,4,-8,-1,-3,-4
7,18,28,24,8,7,2,-1
37,-10,-86,-10,10,6,3,11
-11,14,-12,-20,-5,-4,0,-5
-3,-25,3,35,-5,-2,2,-6
-5,33,74,-91,-16,-10,-5,-1
-7,-9,-21,1,-6,-4,-2,-1
-16,-21,-39,36,7,3,0,-4
0,3,3,22,1,-4,-6,16
23,-2,32,72,8,4,4,3
-10,-15,-48,-47,-12,-9,-7,-6
-2,-32,57,19,-2,0,4,4
-7,37,21,-32,-1,4,1,-13
-26,-5,-40,10,9,1,-3,-6
-2,1,78,62,12,3,1,15
-2,9,-74,-43,-4,1,1,-3
67,-27,-6,-4,-10,-1,-3,7
-5,-10,-32,-26,-19,-13,1,-5
-12,-6,-6,-34,-2,-1,-2,-20
-9,16,7,17,2,-2,0,0
-1,3,61,19,7,6,4,4
11,-23,-92,-69,-8,-3,-2,2
8,17,92,58,-5,-4,3,-8
18,8,-83,-69,-3,-1,-3,11
-3,7,26,-45,-2,-4,-3,-11
6,-10,2,29,3,5,2,-5
-9,-4,-37,55,1,-2,-3,-5
-11,15,30,7,6,4,2,14
62,0,-47,23,5,-1,1,10
-8,10,-72,2,-6,-2,0,-4
8,-7,21,-21,-8,-8,-3,4
-7,10,48,17,13,9,2,3
-10,-11,2,31,-1,0,-6,-9
-12,-17,-42,-25,-3,-7,-7,1
2,1,15,-47,-5,-1,1,2
6,-4,18,18,-8,-2,-1,1
-42,-10,-78,-33,1,-9,-5,-11
28,3,85,25,7,4,-1,3
1,-4,-7,9,-6,-3,-1,-5
-11,-12,-59,-18,-7,-6,-4,-12
-21,-10,-39,-1,-4,-3,0,8
25,32,100,-5,3,4,0,-12
19,-33,-77,-19,1,1,-2,-8
15,9,120,68,8,2,0,-1
-21,17,-41,-30,-5,-2,1,-6
-14,-12,-60,50,-1,-9,0,7
-14,-9,13,-23,-1,11,-1,-1
9,28,68,42,1,-2,-4,4
-10,-36,-34,18,-1,-5,-5,-9
-1,15,-11,-60,-11,-2,2,-1
5,-11,-4,-23,2,-2,0,5
-12,-13,-49,-19,1,1,1,-4
-16,12,45,25,12,9,4,17
21,-31,38,8,-15,-8,-6,-4
-22,19,-48,-24,-10,-5,-3,-6
-11,-3,-46,22,5,3,0,-4
-42,-1,9,-26,-1,-4,-2,-6
-29,-13,-21,9,2,3,-1,-15
-14,16,33,34,1,-2,0,3
-1,-20,-23,-23,-11,-4,-4,-1
11,15,-6,-14,-3,1,-1,2
-1,-19,-21,6,1,-2,-4,5
11,32,-2,-35,1,2,-1,-8
-20,-16,-11,-1,-12,-12,-6,-5
28,-22,16,27,-4,-1,0,1
-41,3,25,-53,-1,-2,2,7
23,0,10,53,6,5,2,5
-3,-13,37,38,2,-4,-5,0
20,24,-68,-36,-10,-5,-1,-18
15,-13,100,9,-2,-1,0,-8
-9,-22,-63,30,2,-4,-1,12
2,14,22,-30,-4,1,1,-5
-12,-11,-9,39,1,-1,1,0
28,16,87,70,10,1,0,11
-19,3,22,29,0,2,0,0
-13,3,-32,-51,-7,-8,-7,0
-7,-6,-28,-31,-4,1,2,2
-11,18,-32,2,1,1,-2,-5
-4,-15,-11,7,-7,-10,-3,-1
-5,20,-17,30,5,8,3,0
-8,-13,-28,-4,-2,-6,-5,0
-7,-20,-82,-52,-6,-3,-2,0
-14,26,38,9,3,-4,-3,-6
18,-40,1,9,10,3,1,-2
45,35,35,38,3,2,-1,9
-17,-9,-59,-12,6,3,2,2
-54,1,-17,-31,-15,-8,-7,-22
10,22,-32,-34,3,-4,-1,-1
-4,-9,55,66,2,-3,0,2
-10,-9,-64,-43,3,-4,-3,2
9,1,22,12,0,4,3,2
1,16,34,-14,-2,1,-1,0
-8,-10,-17,-26,2,2,1,1
14,9,-4,31,-10,-3,-4,-15
27,-19,79,-46,2,0,4,13
3,1,-35,-16,-7,-9,-3,-5
-5,-1,20,27,-2,-1,-4,7
-15,7,-4,-3,2,4,1,4
16,4,61,3,-11,-4,-3,-2
-11,-11,-9,8,0,-1,0,1
2,-3,-34,-6,9,5,4,4
-9,-8,-7,4,-4,-3,-2,-2
19,10,-61,-35,-3,-3,-1,-4
